Date,Open,High,Low,Close,Adj.Close,Volume
2017-11-06,2580.000000,2590.000000,2575.500000,2588.750000,2588.750000,992681
2017-11-07,2587.750000,2593.500000,2580.750000,2586.750000,2586.750000,848119
2017-11-08,2584.000000,2592.500000,2579.750000,2591.000000,2591.000000,1163840
2017-11-09,2591.250000,2594.500000,2563.250000,2584.000000,2584.000000,1058023
2017-11-10,2582.000000,2585.750000,2571.500000,2579.500000,2579.500000,2218191
2017-11-12,null,null,null,null,null,null
2017-11-13,2580.250000,2585.500000,2570.250000,2582.000000,2582.000000,1193217
2017-11-14,2580.250000,2582.250000,2564.250000,2578.000000,2578.000000,1052173
2017-11-15,2576.750000,2577.000000,2555.500000,2565.000000,2565.000000,1582882
2017-11-16,2564.250000,2589.500000,2562.250000,2585.000000,2585.000000,1917948
2017-11-17,2584.250000,2586.000000,2574.750000,2576.250000,2576.250000,1528865
2017-11-19,null,null,null,null,null,null
2017-11-20,2576.000000,2584.000000,2567.750000,2582.000000,2582.000000,1186958
2017-11-21,2582.000000,2600.500000,2579.250000,2596.250000,2596.250000,1000520
2017-11-22,2595.750000,2600.000000,2592.750000,2594.500000,2594.500000,1153787
2017-11-24,null,null,null,null,null,null
2017-11-26,null,null,null,null,null,null
2017-11-27,2601.000000,2605.500000,2596.500000,2601.750000,2601.750000,551196
2017-11-28,2602.250000,2627.000000,2597.500000,2626.000000,2626.000000,960112
2017-11-29,2625.500000,2634.250000,2619.750000,2625.000000,2625.000000,1558414
2017-11-30,2625.000000,2658.500000,2621.750000,2648.000000,2648.000000,1661775
2017-12-01,2640.750000,2650.750000,2605.000000,2644.000000,2644.000000,2346236
2017-12-03,null,null,null,null,null,null
2017-12-04,2654.500000,2665.250000,2633.750000,2638.250000,2638.250000,2520826
2017-12-05,2636.000000,2648.750000,2627.250000,2628.250000,2628.250000,1756938
2017-12-06,2626.750000,2634.500000,2620.000000,2629.250000,2629.250000,1392821
